Title,Location,Gender,Single Sharing Rent,Twin Sharing Rent,Triple Sharing Rent,Rating,Food Charges,Beds Availability
PG/Paying Guest,Bhowanipore,Girls & Boys,10000,8000,6000,N/A,Included,Beds Available
PG/Paying Guest,New Alipore,Girls,22000,16000,N/A,N/A,Not Included,Beds Available
PG/Paying Guest,"Garia Gardens, Garia",Girls,N/A,N/A,3900,5.0,Not Included,Beds Available
PG/Paying Guest,New Town,Girls,11000,7000,5500,N/A,Not Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,13000,N/A,N/A,N/A,Included,Beds Available
PG/Paying Guest,Action Area 1,Girls,13000,6500,5750,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,8000,7000,6000,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,8000,7000,6500,N/A,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,15000,12000,11000,4.2,Included,Beds Available
PG/Paying Guest,Park Street,Girls,16000,15000,14000,5.0,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,18000,14000,15000,N/A,Included,Beds Available
PG/Paying Guest,Park Street,Girls,N/A,N/A,15000,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls,N/A,6500,N/A,N/A,Included,Beds Available
PG/Paying Guest,Kestopur,Girls,N/A,8500,N/A,5.0,Included,Beds Available
PG/Paying Guest,Thakurpukur,Girls & Boys,8500,3800,3300,5.0,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,16000,15000,12000,N/A,Included,Beds Available
PG/Paying Guest,Nagerbazar,Girls,6000,6000,N/A,N/A,Not Included,Beds Available
PG/Paying Guest,Jadavpur,Girls,N/A,7000,8000,4.0,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,11000,6500,5000,N/A,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,12000,13500,12500,N/A,Not Included,Beds Available
PG/Paying Guest,New Alipore,Girls,17000,8500,8000,3.3,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,N/A,15500,N/A,5.0,Not Included,Beds Available
PG/Paying Guest,Rajarhat,Girls & Boys,10500,6500,5500,N/A,Included,Beds Available
PG/Paying Guest,Jadavpur,Girls,5600,5500,N/A,N/A,Included,Beds Available
PG/Paying Guest,Sector 2 Salt Lake City,Girls,20000,20000,18000,N/A,Included,Beds Available
PG/Paying Guest,"Girish Park, Vivekananda Road",Girls,12000,9000,8500,N/A,Included,Beds Available
PG/Paying Guest,Phool Bagan Kankurgachi,Girls,N/A,8500,N/A,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls,N/A,5500,4000,N/A,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls & Boys,10000,8000,6000,N/A,Included,Beds Available
PG/Paying Guest,New Alipore,Girls,22000,16000,N/A,N/A,Not Included,Beds Available
PG/Paying Guest,"Garia Gardens, Garia",Girls,N/A,N/A,3900,5.0,Not Included,Beds Available
PG/Paying Guest,New Town,Girls,11000,7000,5500,N/A,Not Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,13000,N/A,N/A,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,8000,7000,6000,N/A,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,15000,12000,11000,4.2,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,18000,14000,15000,N/A,Included,Beds Available
PG/Paying Guest,Park Street,Girls,N/A,N/A,15000,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls,N/A,6500,N/A,N/A,Included,Beds Available
PG/Paying Guest,Kestopur,Girls,N/A,8500,N/A,5.0,Included,Beds Available
PG/Paying Guest,Thakurpukur,Girls & Boys,8500,3800,3300,5.0,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,16000,15000,12000,N/A,Included,Beds Available
PG/Paying Guest,Nagerbazar,Girls,6000,6000,N/A,N/A,Not Included,Beds Available
PG/Paying Guest,Jadavpur,Girls,N/A,7000,8000,4.0,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,11000,6500,5000,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,8000,7000,6500,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,7500,7000,6750,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls & Boys,7000,6000,5000,5.0,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,12000,13500,12500,N/A,Not Included,Beds Available
PG/Paying Guest,New Alipore,Girls,17000,8500,8000,3.3,Included,Beds Available
PG/Paying Guest,Bhowanipore,Girls,N/A,15500,N/A,5.0,Not Included,Beds Available
PG/Paying Guest,Rajarhat,Girls & Boys,10500,6500,5500,N/A,Included,Beds Available
PG/Paying Guest,Jadavpur,Girls,5600,5500,N/A,N/A,Included,Beds Available
PG/Paying Guest,Sector 2 Salt Lake City,Girls,20000,20000,18000,N/A,Included,Beds Available
PG/Paying Guest,Park Street,Girls,16000,15000,14000,5.0,Included,Beds Available
PG/Paying Guest,"Girish Park, Vivekananda Road",Girls,12000,9000,8500,N/A,Included,Beds Available
PG/Paying Guest,Phool Bagan Kankurgachi,Girls,N/A,8500,N/A,N/A,Included,Beds Available
PG/Paying Guest,New Town,Girls,N/A,5500,4000,N/A,Included,Beds Available
PG/Paying Guest,College Street Area,Girls,N/A,4500,N/A,N/A,Not Included,Beds Available
